id,date,customer,feedback
1,2026-07-01,Müller & Söhne GmbH,"Das neue Portal ist deutlich übersichtlicher, danke für das Update!"
2,2026-07-01,TechStart Berlin,"Die Rechnung für Juni enthält Positionen die wir nie bestellt haben. Bitte dringend prüfen!"
3,2026-07-02,Hansen Logistics,"Login schlägt seit heute Morgen fehl, Fehlermeldung AADSTS50076. Komplettes Team betroffen!"
4,2026-07-02,GreenEnergy AG,"Wäre es möglich, die Reports auch als CSV zu exportieren? Aktuell gibt es nur PDF."
5,2026-07-03,DataFlow Solutions,"The migration went smoothly, your support team was fantastic. Special thanks to the engineer on call."
6,2026-07-03,Kraftwerk Industries,"Teams-Integration funktioniert seit dem letzten Update nicht mehr richtig, Kalender wird nicht synchronisiert."
7,2026-07-04,Nordwind Consulting,"Warum wurde der Preis für die E3-Lizenzen schon wieder erhöht? Das ist innerhalb eines Jahres die zweite Erhöhung."
8,2026-07-05,上海贸易有限公司,"新的管理界面很好用，比以前清晰多了"
9,2026-07-05,Baumann Steuerberatung,"Die monatliche Abrechnung kam dieses Mal eine Woche zu spät. Für unsere Buchhaltung ist das problematisch."
10,2026-07-06,CloudFirst GmbH,"Everything works fine."
11,2026-07-07,MediCare Praxisverbund,"SharePoint ist EXTREM langsam geworden. Dateien öffnen dauert teilweise über eine Minute. Unhaltbar für eine Arztpraxis!"
12,2026-07-08,Schröder Immobilien,"Können Sie uns ein Angebot für 15 zusätzliche Business-Premium-Lizenzen schicken?"
13,2026-07-08,FinTech Labs,"Your API documentation is outdated, the auth endpoints described don't match the actual behavior. Cost us two days of debugging."
14,2026-07-09,Autohaus Winkler,"Mitarbeiter beschweren sich über ständige MFA-Abfragen, teilweise 5x am Tag. Kann man das Intervall anpassen?"
15,2026-07-10,Pixel & Code UG,"tbh the onboarding was a mess, nobody told us the DNS changes would take 48h, our email was down for two days"
16,2026-07-11,Landgasthof Hirsch,"Ich verstehe die neue Rechnung nicht. Was ist der Unterschied zwischen den Positionen 'Exchange Online Plan 1' und 'Exchange Online Kiosk'?"
17,2026-07-12,VertriebsProfi24,"Der Support hat mein Ticket seit 10 Tagen nicht beantwortet. Ticket-Nr. 48213. Das ist inakzeptabel."
18,2026-07-13,北京科技公司,"服务器上周三宕机两小时，我们损失了不少订单，希望能得到解释和补偿"
19,2026-07-14,Elektro Brandt,"Alles bestens, weiter so!"
20,2026-07-15,Steinmann & Partner,"We're considering moving to a competitor unless the pricing for our tenant improves. Current renewal quote is 30% above market."
21,2026-07-16,Yoga Studio Balance,"Die neue Buchungsintegration mit Outlook ist super, unsere Kunden lieben es!"
22,2026-07-17,Massivbau Krüger,"OneDrive synchronisiert bei zwei Mitarbeitern nicht, Rest vom Team hat keine Probleme. Nicht dringend, aber nervig."
23,2026-07-18,Praxis Dr. Sommerfeld,"Bitte rufen Sie mich zurück wegen der Vertragsverlängerung, am besten vormittags."
24,2026-07-19,Digital Nomads GmbH,"Copilot lizenzen wurden doppelt abgerechnet UND das Portal zeigt falsche Nutzerzahlen. Zwei Probleme in einer Woche!"
25,2026-07-20,Weingut Hoffmann,"👍"
